name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
Brunch (Food Truck),Food Truck,"الرياض 13522, المملكة العربية السعودية",24.7762084744103,46.59832190772877,cheap,1.0,3,0,7.536018122325698,
شاهي ماله اسم بس حلو,Afghan Restaurant,"الرياض 13516, المملكة العربية السعودية",24.774276,46.59749,moderate,0.0,2,0,7.536018122325698,
A.M,Food Truck,"الرياض 13516, المملكة العربية السعودية",24.775546,46.597105,cheap,0.0,0,0,7.536018122325698,
Give Me More Coffee,Coffee Shop,"Hittin (Turki), الرياض 13517, المملكة العربية السعودية",24.775378,46.596735,cheap,0.0,4,0,7.536018122325698,
شاهي أبو عبدالله,Café,"تركي الأول, الرياض 13516, المملكة العربية السعودية",24.772778,46.598191,cheap,8.0,21,0,7.3,9.0
Pinky Truck,Food Truck,"الرياض 13516, المملكة العربية السعودية",24.75675866272502,46.590275762214745,cheap,0.0,0,0,7.536018122325698,
Black Square,Café,"حطين 13516, المملكة العربية السعودية",24.775326,46.597232,cheap,2.0,2,1,7.536018122325698,
شاهي الوافي | اطلق جباتي,Café,"الرياض 13517, المملكة العربية السعودية",24.77636,46.596398,cheap,0.0,0,0,7.536018122325698,
95 Kabab,Kebab Restaurant,"Hattin (Turki Alawal), الرياض 13517, المملكة العربية السعودية",24.772279,46.597705,Cheap,1.0,5,0,7.536018122325698,
كرك ابو سعيد,Coffee Shop,"الرياض 13517, المملكة العربية السعودية",24.7758172387942,46.59659994530545,cheap,6.0,3,1,7.536018122325698,
MRCoffee,Café,"Turki Alawwal, الرياض 13517, المملكة العربية السعودية",24.773773,46.597214,cheap,0.0,0,0,7.536018122325698,
شاهي جمر / كيف النشاما,Café,"Turki Al Awwal (Turki Al Awwal), الرياض 13517, المملكة العربية السعودية",24.774317,46.597107,cheap,0.0,0,0,7.536018122325698,
شاهي أهلين,Tea Room,"Hittin (Hittin), الرياض 13517, المملكة العربية السعودية",24.775894,46.596847,moderate,1.0,0,1,7.536018122325698,
Golden Tea,Café,"الرياض 13516, المملكة العربية السعودية",24.776421,46.596878,cheap,0.0,0,0,7.536018122325698,
Feeding Wire سلك تغذيه,Coffee Shop,"تركي الاول, الرياض 13516, المملكة العربية السعودية",24.772275,46.59832700000001,cheap,2.0,1,0,7.536018122325698,
Shif Cafe,Café,"الرياض 13516, المملكة العربية السعودية",24.773127,46.597979,cheap,0.0,1,0,7.536018122325698,
The Truck,Food Truck,"طريق الامير تركي الاول  تقاطع شارع سعيد المطوع (خلف مجمع الدانوب) (شارع سعيد المطوع), الرياض 13513, المملكة العربية السعودية",24.76711311153119,46.60085042680444,cheap,2.0,7,0,7.536018122325698,
Sultan's Steakhouse,Steakhouse,"Prince Turki Bin Abdulaziz Al Awal Road, الرياض 13516, المملكة العربية السعودية",24.770689,46.598901,very expensive,0.0,0,0,7.536018122325698,
KÖSTLIGH,"Food Truck, Café","الرياض 13512, المملكة العربية السعودية",24.76774097968409,46.603087119607295,cheap,0.0,0,0,7.536018122325698,
Day & Night Cafe,Café,"الرياض 13531, المملكة العربية السعودية",24.771389000000006,46.59873,cheap,6.0,9,0,7.536018122325698,
بهار حجازي للكباب الميرو,Kebab Restaurant,"طريق الامير تركي بن عبدالعزيز الاول, الرياض 13517, المملكة العربية السعودية",24.773992,46.597087,Cheap,0.0,1,1,7.536018122325698,
Strong Burger,Food Truck,"الرياض 12321, المملكة العربية السعودية",24.77565187124404,46.59674929955816,cheap,1.0,1,1,7.536018122325698,
كشري بطة,Food Truck,"الرياض 13516, المملكة العربية السعودية",24.775104,46.597258,cheap,0.0,0,0,7.536018122325698,
Cinnabon,"Bakery, Coffee Shop","الرياض 13516, المملكة العربية السعودية",24.765747,46.604928,cheap,0.0,0,0,7.536018122325698,
spicy&crunchy food truck,Food Truck,"saudia arabia, الرياض 11471, المملكة العربية السعودية",24.766590174387183,46.604631673489145,cheap,1.0,6,0,7.536018122325698,
CAF - Boulevard,Coffee Shop,"الرياض 13516, المملكة العربية السعودية",24.766932,46.604197,cheap,51.0,321,6,8.0,62.0
One Way Burger,New American Restaurant,"طريق الأمير تركي بن عبدالعزيز الأول, الرياض 13516, المملكة العربية السعودية",24.766711,46.605212,expensive,2.0,26,0,7.5,11.0
Papillon كافيه,Food Truck,"الرياض 13516, المملكة العربية السعودية",24.762955721790465,46.60945871312829,cheap,2.0,3,0,7.536018122325698,
Ana_Delicious Truck,Food Truck,"Olaya St, الرياض 12211, المملكة العربية السعودية",24.76686057692825,46.604452728817606,cheap,1.0,3,0,7.536018122325698,
MONTREUX,Coffee Shop,"Inside Riyadh Boulevard (Turki Alawal), الرياض 13516, المملكة العربية السعودية",24.764516,46.605164,cheap,3.0,52,1,7.536018122325698,
Lemon_leaves1 (ورق عنب),Food Court,"الرياض 13516, المملكة العربية السعودية",24.76688,46.604469,Cheap,1.0,2,1,7.536018122325698,
برجرايزر,American Restaurant,"تركي الاول, الرياض, المملكة العربية السعودية",24.77256662683469,46.61133314338726,moderate,3.0,0,0,7.536018122325698,
Trieste - Riyadh Boulevard,Café,"Riyadh Season, الرياض 13516, المملكة العربية السعودية",24.768676,46.604876,cheap,24.0,122,9,8.3,32.0
Yummy Stick,Hot Dog Joint,"الرياض 13516, المملكة العربية السعودية",24.766803,46.604478,cheap,1.0,4,0,7.536018122325698,
قهوة عزمي,Café,"بوليفارد الرياض -موسم الرياض, الرياض 13516, المملكة العربية السعودية",24.765,46.605652,cheap,157.0,941,35,7.1,212.0
Suger Cloud,Food Truck,"الرياض 12382, المملكة العربية السعودية",24.773027635218448,46.60846501112078,cheap,10.0,41,2,7.6,11.0
Pure Truck,Food Truck,"الرياض 13517, المملكة العربية السعودية",24.76636244653996,46.60478707333079,cheap,0.0,4,1,7.536018122325698,
Slider Corner Boulevard,Restaurant,"الرياض 13516, المملكة العربية السعودية",24.765428,46.604731,moderate,1.0,4,1,7.536018122325698,
اهلين سيارة ايسكريم,Food Truck,"الرياض 13516, المملكة العربية السعودية",24.76559000119244,46.60309182854023,cheap,0.0,1,0,7.536018122325698,
TBA Burger,"Food Truck, Burger Joint",المملكة العربية السعودية,24.76631406453664,46.60447156506855,cheap,1.0,0,1,7.536018122325698,
FOCUS,"Coffee Shop, Café","Prince Muhammad Bin Saad Rd, الرياض 13515, المملكة العربية السعودية",24.77178887208313,46.620220365176046,cheap,930.0,3899,175,9.0,1151.0
FitHouse,"Health Food Store, Salad Place, Restaurant","الرياض 13515, المملكة العربية السعودية",24.771957689584298,46.62015830174371,Cheap,126.0,457,22,8.5,161.0
@ Café (آت كافيه),Café,"Prince Mohamed Ibn Saad Ibn Abdulaziz Rd, الرياض 13515, المملكة العربية السعودية",24.77370100000001,46.619352,cheap,109.0,778,40,8.3,145.0
Falafel Dam,"Falafel Restaurant, Breakfast Spot","Muhammad Bin Saad Bin Abdulaziz St., الرياض 13515, المملكة العربية السعودية",24.772096,46.619612,cheap,61.0,71,30,8.5,78.0
Bolt Coffee,Coffee Shop,"الرياض 13515, المملكة العربية السعودية",24.774819,46.618157,cheap,29.0,187,5,9.1,31.0
@ Cafe,"Café, Coffee Shop","الرياض 13515, المملكة العربية السعودية",24.773635,46.619357,cheap,4.0,34,0,7.536018122325698,
BOST,Coffee Shop,"الرياض 13515, المملكة العربية السعودية",24.77502,46.618288,cheap,1.0,7,0,7.536018122325698,
Bedos Lounge,Restaurant,"Mohammed Bin Saad, الرياض 13515, المملكة العربية السعودية",24.771316,46.620479,moderate,1.0,8,0,7.536018122325698,
القضمة الشهية,Fast Food Restaurant,"الرياض 13515, المملكة العربية السعودية",24.772052,46.619583,cheap,0.0,2,0,7.536018122325698,
مطعم تثليث البخاري,Afghan Restaurant,المملكة العربية السعودية,24.771754,46.619581,moderate,1.0,0,0,7.536018122325698,
Bee Life (حياة نحلة),Coffee Shop,"Prince Muhammad Bin Saad Bin Abdulaziz Road, الرياض 13515, المملكة العربية السعودية",24.770809,46.620482,cheap,5.0,37,3,7.536018122325698,
شاهي ام حنان ( شركة الكهرب),Coffee Shop,"انس بن مالك (الملقا), الرياض 13515, المملكة العربية السعودية",24.773976,46.618604,cheap,0.0,0,0,7.536018122325698,
Black Box,Food Truck,"الرياض 13516, المملكة العربية السعودية",24.7709349273218,46.60789517199354,cheap,1.0,4,0,7.536018122325698,
ندور بوفيّة تسبده,Cafeteria,المملكة العربية السعودية,24.771449290357967,46.61992910990279,Cheap,0.0,0,0,7.536018122325698,
Fruits Day (يوم الفاكهة),Juice Bar,"حي حطين (طريق محمد بن عبدالعزيز), المملكة العربية السعودية",24.770058,46.620187,cheap,1.0,0,0,7.536018122325698,
مخابز وحلويات رغيف الخير,"Cupcake Shop, Bakery",المملكة العربية السعودية,24.771029724587816,46.62007984692727,moderate,0.0,7,1,7.536018122325698,
Apartment Burger,Burger Joint,المملكة العربية السعودية,24.773252335687303,46.61846415819117,cheap,10.0,1,2,7.536018122325698,
MW Cafe,"Café, Food Truck","الرياض 13516, المملكة العربية السعودية",24.769266,46.619017,cheap,2.0,2,1,7.536018122325698,
Coffee Service (خدمة القهوة),Café,"الرياض, المملكة العربية السعودية",24.774852530057977,46.61896521562703,cheap,82.0,17,1,7.5,117.0
Mawten Zaman Coffee (مقهى موطن زمان),Café,"حي العقيق Al-Aqeeq District (سعود بن محمد بن مقرن), الرياض, المملكة العربية السعودية",24.77206836464561,46.62569540120092,cheap,74.0,47,16,7.7,98.0
ايرث كفي,Café,"Riydh, الرياض 13515, المملكة العربية السعودية",24.770643,46.620889,cheap,11.0,20,0,7.8,13.0
Flow Coffee & Community,Coffee Shop,"فلو ~ قهوة ومجتمع, الرياض 13511, المملكة العربية السعودية",24.773995000000006,46.630005,cheap,79.0,643,24,8.5,96.0
Emperator Shawarma (إمبراطور الشاورما),Shawarma Place,"الرياض 13515, المملكة العربية السعودية",24.772909628792235,46.62744832095916,Cheap,109.0,112,28,6.7,172.0
MONTE | Pizzeria,Italian Restaurant,"Al-aqeek (Prince Mohammed Bin Salman), الرياض 13515, المملكة العربية السعودية",24.773662,46.629289,moderate,8.0,18,5,7.3,14.0
QUE Cafe,Coffee Shop,"Prince Mohammed Ibn Salman Rd., الرياض 13515, المملكة العربية السعودية",24.774187,46.630695,cheap,125.0,920,29,8.0,170.0
Sea Shell (محارة البحر),Fast Food Restaurant,"Albahr Almotawassit St., الرياض, المملكة العربية السعودية",24.77578643097213,46.6301010056544,cheap,66.0,46,12,7.7,89.0
Midan Alsham (ميدان الشام),Middle Eastern Restaurant,"شارع قلعلة صلاح الدين عماره رقم 17, الرياض, المملكة العربية السعودية",24.77560947903005,46.63025428617491,moderate,19.0,16,10,7.8,26.0
White Cup (مقهى الكوب الأبيض),Coffee Shop,"Prince Saud Bin Muhammed, الرياض 13515, المملكة العربية السعودية",24.773578992219328,46.62948557291693,cheap,3.0,31,4,5.4,10.0
Hebro Speciality Coffee (حبرو للقهوة المختصة),Coffee Shop,"طريق الامير سعود بن محمد بن مقرن (طريق الملك فهد), الرياض 13515, المملكة العربية السعودية",24.774584561559788,46.63144317341796,cheap,30.0,110,11,7.1,43.0
كنافه و سكر,Dessert Shop,"الرياض, المملكة العربية السعودية",24.77278240714909,46.63134873010623,cheap,2.0,0,0,7.536018122325698,
PUREGER (بيورقر),Food Truck,"Shaikh Abdulrahman Bin Faryan (West Ring), الرياض, المملكة العربية السعودية",24.80789050423049,46.61956169031546,cheap,2.0,4,0,7.536018122325698,
حلا و كنافة,Dessert Shop,"العقيق, المملكة العربية السعودية",24.77586,46.62996,cheap,3.0,1,1,7.536018122325698,
فوال قمم الأبراج,"Bakery, Breakfast Spot","طريق الأمير محمد بن سلمان (0592090375), الرياض 13511, المملكة العربية السعودية",24.774315,46.632177,cheap,3.0,4,0,7.536018122325698,
فوال جوهره الطائف,Restaurant,"الرياض 13515, المملكة العربية السعودية",24.774777,46.630496,moderate,0.0,0,0,7.536018122325698,
بينزا وفطائر فهد Pizza Fahd,Pizza Place,المملكة العربية السعودية,24.77635935988204,46.62981748232702,cheap,3.0,1,0,7.536018122325698,
Le Croccante,French Restaurant,"الرياض 13515, المملكة العربية السعودية",24.771172,46.623763,expensive,1.0,14,0,7.536018122325698,
dose at الرياض بارك مول,Coffee Shop,"العقيق, الرياض, المملكة العربية السعودية",24.77396,46.630057,cheap,2.0,5,0,7.536018122325698,
Health Kitchen,Restaurant,"Aqiq (Prince Mohammad Bin Miqren), الرياض 13515, المملكة العربية السعودية",24.77100901670946,46.62355973960785,moderate,16.0,22,7,7.7,24.0
Dapoer Indonesia,Indonesian Restaurant,"Madinat Zayed St, الرياض, المملكة العربية السعودية",24.773077697330947,46.6241580247879,moderate,0.0,2,1,7.536018122325698,
حلويات بلح وقشطة,Dessert Shop,"حي العقيق, الرياض, المملكة العربية السعودية",24.77542822766059,46.63031218800671,cheap,5.0,1,1,7.536018122325698,
تزامن البرجر  Tazamun Burgers,Burger Joint,"الرياض 13515, المملكة العربية السعودية",24.771272,46.623476,cheap,3.0,7,1,7.536018122325698,
Broasted Box,Fried Chicken Joint,المملكة العربية السعودية,24.776606,46.62937,cheap,0.0,0,0,7.536018122325698,
@ Cafe,Coffee Shop,"الرياض 13511, المملكة العربية السعودية",24.766959,46.627216,cheap,0.0,1,0,7.536018122325698,
صندوق البرستد,Fried Chicken Joint,المملكة العربية السعودية,24.77656,46.629548,cheap,0.0,0,0,7.536018122325698,
مطعم تسمم حق فلافل,Falafel Restaurant,المملكة العربية السعودية,24.772812,46.632431,cheap,0.0,0,0,7.536018122325698,
تزامن البرجر,Fast Food Restaurant,"الرياض 13515, المملكة العربية السعودية",24.771195,46.623501,cheap,0.0,0,0,7.536018122325698,
رواد الكنافة || Roaad Al Konafa,Dessert Shop,"الرياض 13515, المملكة العربية السعودية",24.776034,46.630062,cheap,0.0,3,1,7.536018122325698,
كنافة وسكر,Dessert Shop,"طريق الأمير سعود بن محمد بن مقرن (Qasim Rd. طريق القصيم), 13516, المملكة العربية السعودية",24.773584254778672,46.62930250167847,cheap,1.0,1,0,7.536018122325698,
Coffee Day,Coffee Shop,"الرياض 13712, المملكة العربية السعودية",24.772513,46.62624,cheap,0.0,0,0,7.536018122325698,
مقهى القرية ||  The Village,Café,"طريق الامير سعود بن محمد بن مقرن, الرياض 13515, المملكة العربية السعودية",24.774744,46.631337,cheap,1.0,0,0,7.536018122325698,
كنافة وسكر,Dessert Shop,"الرياض, المملكة العربية السعودية (طريق الأمير سعود بن محمد بن مقرن، العقيق، الرياض 1), الرياض 13515, المملكة العربية السعودية",24.773710893817643,46.62922739982605,cheap,4.0,5,6,7.536018122325698,
Terrace Cafe,Café,"King Fahad Road (King Fahad Road), الرياض 13511, المملكة العربية السعودية",24.774229396975628,46.63973089177327,cheap,410.0,1300,91,7.3,593.0
Pizza Lucky (بيتزا لكي),Pizza Place,"Prince Saud Ibn Mohammed St, الرياض, المملكة العربية السعودية",24.776414390867853,46.63579373326716,cheap,25.0,21,11,7.9,35.0
Texas chicken,Fried Chicken Joint,المملكة العربية السعودية,24.77495487914547,46.64056547893895,cheap,0.0,0,1,7.536018122325698,
