name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
Cafeteria (بوفية),Breakfast Spot,"حي بدر (ش - الامام مسلم), الرياض, المملكة العربية السعودية",24.538696,46.689591,cheap,2,1,0,7.5360181223257,
اسكندر افندي,Turkish Restaurant,"حي بدر (طريق ابن تيمية), الرياض, المملكة العربية السعودية",24.539718190124,46.6894483321895,moderate,0,2,0,7.5360181223257,
قهوة شبات,Café,"حي بدر (ط ابن تيمية), الرياض, المملكة العربية السعودية",24.5398866307971,46.6892549319687,cheap,1,7,1,7.5360181223257,
لقيمات حصة,Restaurant,"2153 Ibn Taymeeyah Rd, الرياض 14724, المملكة العربية السعودية",24.540343,46.690068,moderate,1,1,1,7.5360181223257,
Texas Chicken,Fast Food Restaurant,"Shifa (Imam Muslim Road), الرياض 14724, المملكة العربية السعودية",24.536518,46.69618,cheap,2,0,0,7.5360181223257,
Coffee Gram (جرام القهوة),Coffee Shop,"Al Khalifah Al Mamoon St, الرياض 14724, المملكة العربية السعودية",24.5378907694137,46.700820888822,cheap,88,532,36,8.9,107
Fun Taste,Restaurant,"الرياض 14724, المملكة العربية السعودية",24.538718,46.698941,moderate,0,3,2,7.5360181223257,
مقهى فنجال وقدوع للقهوة العربية,Café,"حي الشفا شارع الخليل بن أحمد (المعارض), الرياض, المملكة العربية السعودية",24.5401159051996,46.6988039016724,cheap,3,6,2,7.5360181223257,
مخبز وبوفية فوال  الشرق الاوسط,Breakfast Spot,"حي بدر (شارع الخليفة المأمون), المملكة العربية السعودية",24.538065,46.701056,cheap,0,4,0,7.5360181223257,
شاورما جي,Fast Food Restaurant,"الرياض 14724, المملكة العربية السعودية",24.539337,46.702095,cheap,0,0,0,7.5360181223257,
BAHRYA (بحرية),Seafood Restaurant,المملكة العربية السعودية,24.5385533072056,46.7004922531755,expensive,0,1,0,7.5360181223257,
مطعم ميرا البخاري,Afghan Restaurant,"بدر (شارع الخليفة المأمون), المملكة العربية السعودية",24.5383215691736,46.7013320871586,moderate,2,2,0,7.5360181223257,
كفي في التسعين,Coffee Shop,المملكة العربية السعودية,24.5402710503792,46.6985437038839,cheap,0,4,0,7.5360181223257,
اطلق بوفيه بالرياض,Buffet,"الرياض 14724, المملكة العربية السعودية",24.540268,46.705631,cheap,0,0,0,7.5360181223257,
antakya kasabi,Turkish Restaurant,"Sifa, المملكة العربية السعودية",24.538467,46.70763,moderate,2,1,1,7.5360181223257,
الحميس التركي,Doner Restaurant,"حي بدر (شارع الرسالة), الرياض 14724, المملكة العربية السعودية",24.538874,46.707584,cheap,1,3,1,7.5360181223257,
Karyet Al Romansiah,Turkish Restaurant,"Shifa (Al bedir), الرياض, المملكة العربية السعودية",24.537683,46.709636,moderate,0,0,0,7.5360181223257,
مطعم ركن الأوصال,Turkish Restaurant,"الشفا, الرياض, المملكة العربية السعودية",24.539325,46.712869,moderate,3,0,0,7.5360181223257,
Dominos Pizza (دومينوز بيتزا),Pizza Place,المملكة العربية السعودية,24.5360372790561,46.7125107698457,cheap,3,1,0,6.6,6
sandeyss,Turkish Restaurant,المملكة العربية السعودية,24.5394449428142,46.712680663548,moderate,3,2,1,7.5360181223257,
sandeys restorant,BBQ Joint,المملكة العربية السعودية,24.539253250001,46.7128645128269,moderate,1,1,0,7.5360181223257,
شركة العردان ( بوفية ),Indian Restaurant,"الشفا, الرياض 14724, المملكة العربية السعودية",24.53899,46.712391,moderate,0,0,0,7.5360181223257,
صانع الحلويات,Café,المملكة العربية السعودية,24.54049,46.713722,cheap,1,0,0,7.5360181223257,
الشفا للوجبات السريعة,Chaat Place,"الشفا (طريق عرفات), الرياض, المملكة العربية السعودية",24.541143,46.714524,cheap,0,0,0,7.5360181223257,
riyadh sifa kiral kunefe,Cafeteria,المملكة العربية السعودية,24.5408056926313,46.7133602441199,cheap,1,2,0,7.5360181223257,
فلافل قرمشة,Falafel Restaurant,"Al Itidal, المملكة العربية السعودية",24.5402574744212,46.7250263770906,cheap,5,1,0,6.8,9
مطعم أرزاق بلادي البخاري,Afghan Restaurant,"الرياض, المملكة العربية السعودية",24.539982,46.720659,moderate,1,0,0,7.5360181223257,
شاورما العائلة,Shawarma Place,"حي بدر (ش احمد شوقي), الرياض, المملكة العربية السعودية",24.5452895849366,46.6945781936918,cheap,37,21,7,8.3,45
dr.CAFE COFFEE (د. كيف كافيه),"Coffee Shop, Café","داخل محطة وقود (تقاطع شارع ابن تيمية مع الخليل بن أحمد), الرياض, المملكة العربية السعودية",24.5435978005006,46.6927871603036,cheap,106,130,48,8.3,141
تسالي سمي,Burger Joint,"الرياض 14724, المملكة العربية السعودية",24.544071,46.703378,cheap,1,6,0,7.5360181223257,
Dominos Pizza,Pizza Place,"7469 Al Khalifah Al Maamoun St, Next to Hyper Panda, Badr, الرياض 14724, المملكة العربية السعودية",24.541904,46.704626,cheap,0,0,0,7.2,1
Dominos Pizza (دومينوز بيتزا),Pizza Place,"الخليفة مأمون, الرياض, المملكة العربية السعودية",24.5417389545828,46.7042567988206,cheap,16,11,0,7.4,21
ركن حمص زكي,"Falafel Restaurant, Fast Food Restaurant",المملكة العربية السعودية,24.5434975446243,46.6938259810722,cheap,2,7,0,7.5360181223257,
